,source,target,count
709,레트로펑키,엠블랙,3
710,김태희,악동 클럽 (디 에이디),3
711,김태희,핑클,3
712,예아나이스 (MosPick),골든차일드,3
713,이스란,에프엑스,3
714,이기 (오레오),인피니트,3
715,이단 옆차기,엠블랙,3
716,오브로스,제이비제이,3
717,이든 (EDEN),비투비,3
718,진리 (Full8loom),로미오,3
719,이스란,동방신기,3
720,오브로스,스누퍼,3
721,라임 (헬로비너스),헬로비너스,3
722,이수민,달샤벳,3
723,Red Rocket,레인보우,3
724,이단옆차기,맵식스,3
725,Razer (Strike),인피니트,3
726,진리 (Full8loom),모모랜드,3
727,이유진,슈퍼주니어,3
728,zomay,스누퍼,3
729,Sam Lewis,트와이스,3
730,장재민,카라,3
731,권소현 (4minute),포미닛,3
732,권윤정,슈퍼주니어,3
733,유영석,소녀시대,3
734,정일훈,펜타곤,3
735,기리보이,몬스타엑스,3
736,정재윤,솔리드,3
737,김건우,마이네임,3
738,장동우 (인피니트),인피니트,3
739,김달우피터,테이크,3
740,정진욱,허니스트,3
741,유유진,티티마,3
742,김동원,에프티 아일랜드,3
743,김동현,신화,3
744,민설,애프터 스쿨,3
745,Yang.D,투포케이,3
746,유진,에스이에스,3
747,김보라,이엑스피에디션,3
748,민경훈,버즈,3
749,이효리,핑클,3
750,용감한 형제,씨스타19,3
751,Xepy,엘리스,3
752,XIA (준수),제이와이제이,3
753,유현상,카라,3
754,장용진,에이치오티,3
755,장지원,뉴이스트,3
756,김수빈,엔플라잉,3
757,박기영,아이돌,3
758,zomay,제이비제이,3
759,real-fantasy,제이비제이,3
760,가면라이더,리얼걸프로젝트,3
761,real-fantasy,업텐션,3
762,박유천,제이와이제이,3
763,가면라이더,크로스진,3
764,웅재 (임팩트),임팩트,3
765,강동하,비투비,3
766,강성훈,젝스키스,3
767,박수석,시크릿,3
768,강우경,구피,3
769,강욱진,젝스키스,3
770,원태연,솔리드,3
771,강은경,룰라,3
772,박선주 (Pak Sun Zoo),쿨,3
773,박선만,룰라,3
774,e.one,마이네임,3
775,유근,갓세븐,3
776,박덕상,티아라,3
777,전간디,러블리즈,3
778,용배 (RBW),프로미스나인,3
779,용배 (RBW),에스에프나인,3
780,곽상엽,에이치오티,3
781,이현정,디헤븐,3
782,김승수,더블에스오공일,3
783,리듬킹,이블,3
784,김은수,미쓰에이,3
785,윤일상,쿨,3
786,김은수,투피엠,3
787,매드클라운,씨스타,3
788,정성헌,스맥스,3
789,오지훈,태사자,3
790,T.O.P,지디 앤 탑,3
791,김이나,샤이니,3
792,마부스 (Maboos),유키스,3
793,김이나,피에스타,3
794,김이나,헬로비너스,3
795,마부스 (Maboos),브레이브걸스,3
796,김인형,샤이니,3
797,마부스,브레이브걸스,3
798,김재양,에이오에이,3
799,마르코,유앤비,3
800,마르코,시크릿,3
801,이정신 (CNBLUE),씨엔블루,3
802,마르코,소나무,3
803,김종숙,베이비 복스 리브,3
804,은우,프리스틴,3
805,조은희,베이비 복스 리브,3
806,이재경,버즈,3
807,김지향,구구단,3
808,윤우현,버즈,3
809,방시혁,파이브,3
810,김시형,히스토리,3
811,이지은,티아라,3
812,윤미래,엠아이비,3
813,김영아,룰라,3
814,박채원,파이브,3
815,제이덥 (JDUB),슈퍼 주니어-디앤이,3
816,이트라이브,슈퍼주니어,3
817,V!VE,이엑스아이디,3
818,Urban Cllasik,쥬얼리,3
819,김영아,쥬얼리,3
820,이택승,제이엔씨,3
821,박해운,쿨,3
822,Unknown,문차일드,3
823,제이켠,인투잇,3
824,와이엇,온앤오프,3
825,제이하트 (J.Heart),엔소닉,3
826,김영후,슈퍼주니어,3
827,문스톤,에스이에스,3
828,박현중,티아라,3
829,이창섭,비투비,3
830,온유 (ONEW),샤이니,3
831,무,쿨,3
832,김유라,에스이에스,3
833,몽실AB,베리굿,3
834,방시혁,방탄소년단,3
835,김이나,마마무,3
836,박창현,동방신기,3
837,LUCKY.D,헤일로,3
838,G-DRAGON,지디 앤 탑,3
839,JQ,슈퍼 주니어-디앤이,3
840,Long Candy,걸스데이,3
841,Brian Kim,제국의 아이들,3
842,David Kim,소년공화국,3
843,신유,더블에스오공일,3
844,한재호,슈가,3
845,JQ,첸백시,3
846,필독 (BIGSTAR),유앤비,3
847,David Kim,엠블랙,3
848,한승훈,에스에프나인,3
849,Mafly,비에이피,3
850,손지창,더 블루,3
851,키노,펜타곤,3
852,B.A.M,오마이걸 반하나,3
853,서지음,라붐,3
854,David Kim,디엠티엔,3
855,현아,씨엘씨,3
856,카일라,프리스틴,3
857,A.J,파란,3
858,피터팬,대국남아,3
859,GDLO (MonoTree),스텔라,3
860,영광의 얼굴들 (Full8loom),다이아,3
861,Daniel Kim,업텐션,3
862,GDLO (MonoTree),레이디스 코드,3
863,송양하,에이프릴,3
864,안영민,남녀공학,3
865,시윤,유키스,3
866,송양하,크로스진,3
867,C-no,레인보우,3
868,송지훈,크레용팝,3
869,한준,뉴이스트,3
870,청담슈퍼,엠블랙,3
871,Brand Newjiq (브랜뉴직),크로스진,3
872,Mafly,브이에이브이,3
873,한성호,엔플라잉,3
874,홍지상,베스티,3
875,슈퍼창따이,티맥스,3
876,한경혜,에프티 아일랜드,3
877,MONSTER FACTORY,모모랜드,3
878,홍지유,크로스진,3
879,홍지상,미쓰에이,3
