,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
129,디엠티엔,6,남,494501,,아이에스엔터미디어그룹,"다니엘, 이나티, 지수, 동림, 사이먼",2010,Round 1
130,터치,4 (7),남,106246,,YYJ,"선웅, 성용, 재욱, 철민, 강현",2010,
131,지디 앤 탑,2,남,512321,,YG,"G-DRAGON, T.O.P",2010,뻑이가요
132,씨스타,4,여,473181,,스타쉽,"효린, 소유 (SOYOU), 다솜 (씨스타), 보라 (씨스타)",2010,Push Push (푸시 푸시)
133,오렌지캬라멜,3,여,477632,,플레디스,"리지 (오렌지 캬라멜), 나나 (애프터스쿨), 레이나 (Raina)",2010,마법소녀 (魔法少女)
134,미쓰에이,2 (4),여,481481,,JYP,"수지 (SUZY), 민, 페이, 지아",2010,Bad Girl Good Girl
135,걸스데이,4,여,482762,,드림티,"소진 (걸스데이), 민아 (걸스데이), 유라 (걸스데이), 혜리 (걸스데이)",2010,갸우뚱
136,나인뮤지스,5 (9),여,465680,,스타제국,"손성아 (나인뮤지스), 경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",2010,No PlayBoy
137,지피베이직,3 (6),여,492173,,티모,"제이니, 에미트, 트리니티, 자이온, 무이",2010,Game
138,브이엔티,3,여,505120,,미디어라인,"쏘이, 유미, iLLA",,
139,디헤븐,1 (3),여,509820,,Jang,,2010,
140,트러블 메이커,2,혼,591031,,큐브,"현아, 장현승",2011,Trouble Maker
141,마이네임,5,남,576851,,에이치투미디어,"세용, 인수, 준Q, 채진, 건우",2011,메시지 (Message)
142,보이프렌드,6,남,541500,,스타쉽,"현성 (보이프렌드), 영민 (보이프렌드), 광민 (보이프렌드), 민우 (보이프렌드), 동현 (보이프렌드), 정민 (보이프렌드)",2011,Boyfriend (보이프렌드)
143,슈퍼 주니어-디앤이,2,남,838961,,SM,"동해 (DONGHAE), 은혁 (EUNHYUK)",2011,"떴다 오빠 (Oppa, Oppa)"
144,비원에이포,5,남,535440,,WM,"진영, 바로, 신우, 공찬, 산들 (B1A4)",2011,O.K
145,블락비,7,남,532201,,세븐시즌스,"지코 (ZICO), 박경 (블락비), P.O (블락비), 태일 (블락비), 재효 (블락비), 유권 (블락비), 비범 (블락비)",2011,그대로 멈춰라!
146,엔소닉,6,남,570311,,C2K,"제이하트 (J.Heart), 최별, 봉준, 시후, 민기, 시온",2011,Super Boy
147,엠아이비,4,남,575911,,정글,"직 재스퍼 (Zick Jasper), 심스 ($IM$), 강남",2011,G.D.M
148,달샤벳,4 (6),여,514619,,해피페이스,"수빈, 세리 (달샤벳), 아영 (달샤벳), 우희 (달샤벳)",2011,Supa Dupa Diva
149,파이브돌스,5,여,520160,,MBK,"한별혜원, 한빛효영, 서은교, 한나연, 승희, 오연경 (더 씨야)",2011,입술자국
150,치치,5 (7),여,527980,,예당,"세미, 보름, 수이, 아지, 샤인",2011,
151,BP 라니아,7,여,532321,,DR뮤직,"유민, 지은, 따보, 지유, 혜미, Alexandra, 이나",2011,DR Feel Good (Korean Ver.)
152,브레이브걸스,7 (5),여,531700,,브레이브,"민영 (Brave Girls), 유정, 은지, 유나, 하윤",2011,아나요
153,에이핑크,6 (7),여,534360,,플랜에이,"정은지, 손나은 (에이핑크), 박초롱 (에이핑크), 오하영 (에이핑크), 김남주 (에이핑크), 윤보미 (에이핑크)",2011,몰라요
154,씨스타19,2,여,537569,,스타쉽,"보라 (씨스타), 효린",2011,Ma Boy (마보이)
155,천상지희 다나 & 선데이,2,여,552082,,SM,"다나 (DANA), 선데이 (SUNDAY)",2011,나 좀 봐줘 (One More Chance)
156,애프터스쿨 레드,2,여,554180,,플레디스,"가희, 정아 (애프터스쿨), 유이 (애프터스쿨), 나나 (애프터스쿨)",2011,밤 하늘에
157,애프터스쿨 블루,3,여,554181,,플레디스,,2011,원더보이 (Wonder Boy)
158,블레이디,5 (4),여,540363,,스타플레닛,"예은, 다영, 가빈, 티나, 기루",2011,
159,스텔라,4,여,559971,,,"가영, 전율, 효은, 민희, 소영",2011,로켓걸 (Rocket Girl) (Feat. Eric)
160,씨리얼,5,여,569973,,NAP,"케미 (씨리얼), 레디 (씨리얼), 에피 (씨리얼), 앤제이 (씨리얼), 레니 (씨리얼)",2011,No No No No No
161,비에이피,6,남,623451,,TS,"방용국, 젤로, 힘찬, 대현 (B.A.P), 영재 (B.A.P), 종업 (B.A.P)",2012,WARRIOR
162,뉴이스트,5,남,640891,,플레디스,"JR (뉴이스트), Aron (뉴이스트), 백호 (뉴이스트), 황민현, 렌 (뉴이스트)",2012,FACE
163,비투비,7,남,647971,,큐브,"서은광, 이민혁, 이창섭, 임현식, 프니엘, 정일훈, 육성재",2012,비밀 (Insane)
