,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
245,몬스타엑스,7,남,791216.0,,스타쉽,로미오 (ROMEO),"강민, 마일로, 민성, 승환, 윤성, 카일, 현경",2015,
246,엔플라잉,5 (4),남,861430.0,,FNC,몬스타엑스,"주헌 (몬스타엑스), 셔누 (몬스타엑스), 기현 (몬스타엑스), 형원 (몬스타엑스), 민혁 (몬스타엑스), 원호 (몬스타엑스), I.M (몬스타엑스)",,
247,세븐틴,13,남,861436.0,,플레디스,엔플라잉 (N.Flying),"이승협 (J.DON), 권광진, 차훈, 김재현, 유회승 (N.Flying)",2015,기가 막혀 (Awesome)
248,아이콘,7,남,895741.0,,YG,세븐틴,"S.COUPS (SEVENTEEN), 정한 (SEVENTEEN), 조슈아 (SEVENTEEN), 준 (SEVENTEEN), 호시 (SEVENTEEN), 원우 (SEVENTEEN), 도겸 (SEVENTEEN), 민규 (SEVENTEEN), 디에잇 (SEVENTEEN), 승관 (SEVENTEEN), Vernon (SEVENTEEN), 디노 (SEVENTEEN), WOOZI (SEVENTEEN)",2015,아낀다
249,데이식스,5 (6),남,894864.0,,JYP,iKON,"B.I, 김진환, BOBBY, 송윤형, 구준회, 김동혁, 정찬우",,
250,업텐션,10,남,894825.0,,티오피미디어,DAY6 (데이식스),"성진, Jae, Young K, 원필, 도운",,
251,브이에이브이,7,남,906245.0,,에이팀,업텐션 (UP10TION),"진후, 쿤, 고결, 웨이, 비토, 우신, 선율, 규진, 환희 (업텐션), 샤오",2015,"위험해 (SO, DANGEROUS)"
252,맵식스,5,남,913347.0,,드림티,VAV,"에이스 (ACE), 바론 (VAV), 제이콥 (Jacob), 세인트반 (St.Van), 로우, 에이노, 지우",2015,Under The Moonlight (달빛 아래서)
253,스누퍼,6,남,856374.0,,위드메이,맵식스 (MAP6),"민혁, 제이준, 썬, 제이빈, 싸인",2015,Storm
254,여자친구,6,여,828478.0,,쏘스뮤직,스누퍼 (SNUPER),"상일, 상호, 세빈, 수현, 우성, 태웅",2015,쉘 위 댄스 (Shall We Dance)
255,러버소울,3,여,837535.0,,해피트라이브위드에이치씨,여자친구 (GFRIEND),"소원 (여자친구), 예린 (여자친구), 은하 (여자친구), 유주 (여자친구), 신비 (여자친구), 엄지 (여자친구)",2015,유리구슬 (Glass Bead)
256,씨엘씨,7 (5),여,839579.0,,큐브,러버소울 (Rubber Soul),"최초아, 킴",2015,Life (Feat. 매드클라운)
257,써스포,3,여,856706.0,,TK,CLC,"장예은, 손, 오승희, 장승연, 최유진, 권은빈, 엘키",2015,Pepe
